Name,Type,RA,Dec,Const,B-Mag,M
IC2525,G,09:58:24.96,+37:06:06.7,LMi,15.81,
IC2526,G,09:57:03.03,-32:15:24.7,Ant,13.66,
IC2527,G,10:00:06.49,+38:10:19.9,LMi,15.55,
IC2528,Dup,09:59:06.42,-27:07:43.7,Ant,,
IC2529,Dup,09:59:29.54,-22:49:34.6,Hya,,
IC2530,G,10:01:31.06,+37:12:14.2,LMi,14.96,
IC2531,G,09:59:55.77,-29:37:01.1,Ant,12.89,
IC2532,G,10:00:05.40,-34:13:41.8,Ant,14.04,
IC2533,G,10:00:31.67,-31:14:42.0,Ant,12.95,
IC2534,G,10:01:29.86,-34:06:44.7,Ant,13.41,
IC2535,G,10:04:31.83,+38:00:21.7,LMi,14.77,
IC2536,G,10:03:30.22,-33:56:59.1,Ant,14.55,
IC2537,G,10:03:51.89,-27:34:15.1,Ant,12.80,
IC2538,G,10:03:56.49,-34:48:27.1,Ant,15.00,
IC2539,G,10:04:16.21,-31:21:46.6,Ant,14.06,
IC2540,G,10:06:46.71,+31:28:32.6,LMi,15.20,
IC2541,G,10:05:48.01,-17:26:04.4,Hya,13.88,
IC2542,G,10:07:50.54,+34:18:55.1,LMi,14.53,
IC2543,GPair,10:08:23.80,+37:50:34.0,LMi,,
IC2543 NED01,G,10:08:23.56,+37:50:29.5,LMi,15.73,
IC2543 NED02,G,10:08:23.97,+37:50:39.2,LMi,17.51,
IC2544,G,10:08:29.73,+33:20:47.0,LMi,15.32,
IC2545,**,10:06:35.06,-33:51:29.8,Ant,,
IC2546,G,10:07:05.92,-33:15:40.9,Ant,15.60,
IC2547,G,10:10:04.49,+36:30:08.8,LMi,15.62,
IC2548,G,10:07:54.95,-35:13:46.6,Ant,14.04,
IC2549,G,10:10:10.16,+36:27:53.5,LMi,15.88,
IC2550,G,10:10:27.92,+27:57:22.0,LMi,14.48,
IC2551,G,10:10:40.32,+24:24:50.9,Leo,14.53,
IC2552,G,10:10:46.14,-34:50:40.9,Ant,13.09,
IC2553,PN,10:09:20.87,-62:36:49.3,Car,13.00,
IC2554,G,10:08:50.56,-67:01:51.1,Car,12.50,
IC2555,Dup,10:11:42.43,-31:38:34.3,Ant,,
IC2556,G,10:12:37.63,-34:43:43.9,Ant,14.26,
IC2557,G,10:16:05.87,+38:06:33.2,LMi,15.60,
IC2558,G,10:14:44.14,-34:20:19.4,Ant,14.32,
IC2559,G,10:14:45.39,-34:03:31.7,Ant,14.42,
IC2560,G,10:16:18.72,-33:33:49.7,Ant,12.64,
IC2561,G,10:19:08.61,+34:40:30.1,LMi,14.81,
IC2562,G,10:18:54.50,+16:09:19.9,Leo,14.97,
IC2563,G,10:18:51.93,-32:35:47.6,Ant,15.56,
IC2564,G,10:21:27.70,+36:27:07.4,LMi,15.83,
IC2565,G,10:21:17.87,+27:55:48.3,LMi,15.14,
IC2566,G,10:22:19.39,+36:34:58.9,LMi,14.72,
IC2567,G,10:21:57.80,+24:39:18.8,Leo,15.36,
IC2568,G,10:22:30.01,+36:35:57.5,LMi,14.93,
IC2569,G,10:22:53.59,+24:36:23.1,Leo,15.46,
IC2570,G,10:21:34.30,-33:37:23.6,Ant,16.05,
IC2571,Dup,10:21:35.08,-34:16:00.5,Ant,,
IC2572,G,10:25:07.28,+28:05:41.3,LMi,15.47,
IC2573,G,10:23:30.18,-35:27:20.1,Ant,15.38,
IC2574,G,10:28:23.48,+68:24:43.7,UMa,10.82,
IC2575,G,10:25:24.00,-32:38:10.5,Ant,15.95,
IC2576,G,10:25:58.98,-32:54:12.5,Ant,14.86,
IC2577,G,10:28:01.45,+32:45:50.0,LMi,15.35,
IC2578,G,10:27:22.69,-33:52:38.4,Ant,15.06,
IC2579,Dup,10:29:16.84,+26:05:57.3,Leo,,
IC2580,G,10:28:17.98,-31:31:04.9,Ant,13.38,
IC2581,OCl,10:27:29.15,-57:37:02.3,Car,4.79,
IC2582,G,10:29:11.00,-30:20:33.0,Ant,13.66,
IC2583,G,10:31:10.44,+26:03:18.2,Leo,14.92,
IC2584,G,10:29:51.49,-34:54:41.9,Ant,13.60,
IC2585,Dup,10:30:26.49,-35:21:34.2,Ant,,
IC2586,G,10:31:02.40,-28:42:59.9,Hya,13.56,
IC2587,G,10:30:59.60,-34:33:46.6,Ant,13.33,
IC2588,G,10:31:50.14,-30:23:04.3,Ant,13.63,
IC2589,G,10:32:20.82,-24:02:15.2,Hya,14.31,
IC2590,G,10:36:16.58,+26:57:44.9,Leo,14.73,
IC2591,G,10:36:38.67,+35:03:10.5,LMi,14.45,
IC2592,Dup,10:35:08.28,-43:41:30.5,Vel,,
IC2593,G,10:36:15.95,-12:43:32.9,Hya,15.54,
IC2594,G,10:36:04.17,-24:19:23.1,Hya,13.48,
IC2595,Other,10:37:33.12,-11:07:00.2,Sex,,
IC2596,G,10:34:12.46,-73:14:24.5,Car,13.87,
IC2597,G,10:37:47.45,-27:04:54.1,Hya,12.92,
IC2598,G,10:39:42.33,+26:43:39.2,LMi,15.29,
IC2599,HII,10:37:27.09,-58:44:00.2,Car,,
IC2600,G,10:46:38.80,+72:19:13.6,UMa,15.58,
IC2601,G,10:47:13.32,+72:19:22.9,UMa,15.46,
IC2602,OCl,10:42:57.47,-64:23:39.1,Car,,
IC2603,Other,10:48:25.36,+32:55:38.3,LMi,,
IC2604,G,10:49:25.07,+32:46:21.8,LMi,14.86,
IC2605,Other,10:49:47.54,+32:58:23.5,LMi,15.39,
IC2606,G,10:50:17.65,+37:57:22.4,LMi,14.58,
IC2607,G,10:50:18.94,+37:59:38.2,LMi,15.27,
IC2608,G,10:50:15.52,+32:46:05.4,LMi,15.45,
IC2609,Dup,10:50:17.98,-12:06:31.4,Hya,,
IC2610,Other,10:52:08.07,+33:04:59.4,LMi,,
IC2611,*,10:52:38.93,+10:08:10.9,Leo,,
IC2612,G,10:53:37.16,+32:46:03.5,LMi,15.78,
IC2613,Dup,10:49:50.11,+32:58:58.3,LMi,,
IC2614,G,11:01:33.80,+38:48:13.2,UMa,16.50,
IC2615,G,11:02:02.28,+37:56:42.9,UMa,15.45,
IC2616,G,11:02:05.76,+38:47:14.1,UMa,15.35,
IC2617,G,11:02:07.63,+38:39:51.3,UMa,14.80,
IC2618,**,11:01:58.82,+27:47:21.3,LMi,,
IC2619,G,11:02:15.26,+37:57:57.9,UMa,15.66,
IC2620,G,11:02:23.95,+38:30:18.1,UMa,15.09,
IC2621,PN,11:00:19.99,-65:14:57.7,Car,11.30,
IC2622,Dup,11:02:59.67,-16:17:22.0,Crt,,
IC2623,G,11:03:50.96,-20:05:35.0,Crt,14.47,
IC2624,Dup,11:07:18.07,-19:28:17.6,Crt,,
IC2625,Dup,11:07:19.12,-19:33:20.3,Crt,,
IC2626,G,11:09:03.87,+26:54:15.0,Leo,15.80,
IC2627,G,11:09:53.39,-23:43:33.4,Crt,12.68,
IC2628,G,11:11:37.87,+12:07:19.1,Leo,15.72,
IC2629,G,11:12:36.94,+12:06:17.8,Leo,16.20,
IC2630,*,11:12:43.19,+12:19:08.2,Leo,,
IC2631,Neb,11:09:52.79,-76:36:51.5,Cha,,
IC2632,G,11:13:05.94,+11:40:23.8,Leo,17.07,
IC2633,G,11:13:10.04,+11:36:03.6,Leo,16.53,
IC2634,G,11:13:28.25,+10:29:09.5,Leo,15.00,
IC2635,**,11:13:29.81,+11:27:50.0,Leo,,
IC2636,G,11:13:34.04,+11:27:22.2,Leo,16.60,
IC2637,G,11:13:49.75,+09:35:10.7,Leo,13.96,
IC2638,G,11:13:51.91,+10:33:48.2,Leo,15.04,
IC2639,G,11:13:55.54,+09:38:34.1,Leo,16.43,
IC2640,G,11:14:05.49,+10:59:51.6,Leo,16.65,
IC2641,*,11:14:10.55,+09:23:57.6,Leo,,
IC2642,Other,11:14:15.80,+12:15:56.4,Leo,,
IC2643,*,11:14:26.56,+10:07:34.4,Leo,,
IC2644,G,11:14:29.81,+10:46:06.5,Leo,16.52,
IC2645,G,11:14:30.82,+11:53:12.4,Leo,15.71,
IC2646,G,11:14:37.60,+12:31:42.6,Leo,16.91,
IC2647,*,11:14:38.62,+12:08:31.2,Leo,,
IC2648,G,11:14:45.63,+10:13:29.4,Leo,16.14,
IC2649,G,11:14:46.45,+11:07:39.7,Leo,15.35,
IC2650,G,11:14:52.66,+13:51:08.9,Leo,16.74,
IC2651,G,11:14:52.28,+12:14:23.2,Leo,16.27,
IC2652,G,11:14:52.32,+12:26:53.0,Leo,16.32,
IC2653,**,11:14:53.83,+10:32:54.1,Leo,,
IC2654,G,11:15:02.86,+12:29:58.1,Leo,16.85,
IC2655,G,11:15:05.16,+12:09:51.8,Leo,17.44,
IC2656,G,11:15:05.38,+12:22:44.9,Leo,16.88,
IC2657,G,11:15:08.71,+13:41:41.0,Leo,17.27,
IC2658,*,11:15:08.75,+12:59:47.8,Leo,,
IC2659,*,11:15:27.84,+12:53:15.6,Leo,,
IC2660,G,11:15:28.44,+12:26:13.9,Leo,16.78,
IC2661,G,11:15:29.17,+13:36:31.2,Leo,15.79,
IC2662,Other,11:15:30.79,+12:46:15.8,Leo,,
IC2663,*,11:15:32.38,+12:36:14.1,Leo,,
IC2664,**,11:15:38.44,+12:33:45.7,Leo,,
IC2665,G,11:15:40.78,+11:43:26.9,Leo,17.51,
IC2666,G,11:15:43.77,+13:46:56.1,Leo,14.26,
IC2667,G,11:15:44.04,+12:07:00.6,Leo,16.68,
IC2668,G,11:15:32.28,-14:10:15.9,Crt,14.59,
IC2669,**,11:15:53.22,+13:25:46.4,Leo,,
IC2670,G,11:15:59.56,+11:47:00.1,Leo,16.57,
IC2671,*,11:16:03.32,+13:07:27.3,Leo,,
IC2672,*,11:16:03.82,+10:09:26.2,Leo,,
IC2673,G,11:16:04.13,+10:09:45.2,Leo,15.35,
IC2674,G,11:16:08.25,+11:02:55.1,Leo,15.40,
IC2675,*,11:16:10.81,+12:14:57.5,Leo,,
IC2676,G,11:16:18.51,+09:49:18.6,Leo,17.69,
IC2677,G,11:16:19.30,+12:12:57.1,Leo,18.16,
IC2678,G,11:16:21.64,+11:56:56.8,Leo,16.39,
IC2679,G,11:16:23.20,+12:00:55.4,Leo,15.67,
IC2680,G,11:16:25.53,+09:48:25.7,Leo,15.87,
IC2681,Other,11:16:33.25,+11:12:25.9,Leo,,
IC2682,**,11:16:36.12,+09:24:38.8,Leo,,
IC2683,G,11:16:54.30,+12:05:57.4,Leo,17.01,
IC2684,G,11:17:01.05,+13:05:58.7,Leo,17.03,
IC2685,*,11:17:00.09,+10:05:38.7,Leo,,
IC2686,*,11:17:02.51,+12:57:06.0,Leo,,
IC2687,**,11:17:11.98,+10:09:29.2,Leo,,
IC2688,NonEx,,,,,
IC2689,G,11:17:19.50,+12:57:35.8,Leo,16.94,
IC2690,G,11:17:21.59,+12:58:31.5,Leo,18.03,
IC2691,*,11:17:24.58,+12:01:51.9,Leo,,
IC2692,G,11:17:33.22,+10:46:05.0,Leo,16.62,
IC2693,*,11:17:36.31,+13:32:55.8,Leo,,
IC2694,G,11:17:38.60,+13:22:34.0,Leo,15.62,
IC2695,G,11:17:48.57,+13:43:39.6,Leo,16.53,
IC2696,*,11:17:48.93,+12:45:20.7,Leo,,
IC2697,*,11:17:51.13,+13:23:59.9,Leo,,
IC2698,G,11:17:51.02,+11:53:08.8,Leo,15.81,
IC2699,*,11:17:52.65,+11:54:33.2,Leo,,
IC2700,G,11:17:54.18,+12:03:15.1,Leo,17.03,
IC2701,G,11:17:57.02,+11:07:05.0,Leo,17.20,
IC2702,G,11:17:57.23,+09:24:44.9,Leo,17.00,
IC2703,G,11:18:05.13,+17:38:58.3,Leo,15.81,
IC2704,G,11:18:04.01,+12:27:15.1,Leo,15.71,
IC2705,*,11:18:03.68,+11:54:14.7,Leo,,
IC2706,*,11:18:29.20,+12:32:54.4,Leo,,
IC2707,G,11:18:30.84,+09:28:29.5,Leo,16.51,
IC2708,G,11:18:34.61,+12:42:40.0,Leo,15.06,
IC2709,G,11:18:42.16,+12:33:42.1,Leo,17.47,
IC2710,**,11:18:44.32,+13:33:59.7,Leo,,
IC2711,*,11:18:46.49,+13:44:18.4,Leo,,
IC2712,G,11:18:52.78,+09:37:36.8,Leo,16.55,
IC2713,G,11:19:10.22,+12:09:53.3,Leo,16.29,
IC2714,OCl,11:17:27.35,-62:43:30.4,Car,,
IC2715,G,11:19:14.39,+11:57:07.8,Leo,21.01,
IC2716,G,11:19:16.34,+11:41:54.8,Leo,17.70,
IC2717,*,11:19:18.77,+12:02:54.8,Leo,,
IC2718,G,11:19:20.90,+12:01:20.2,Leo,15.84,
IC2719,G,11:19:32.20,+12:03:35.2,Leo,17.87,
IC2720,G,11:19:35.65,+12:04:35.7,Leo,15.64,
IC2721,Other,11:19:42.81,+12:18:38.3,Leo,,
IC2722,GTrpl,11:19:44.36,+13:57:46.5,Leo,,
IC2722 NED01,G,11:19:43.94,+13:57:50.1,Leo,16.10,
IC2722 NED03,G,11:19:44.36,+13:57:46.5,Leo,17.08,
IC2723,G,11:19:47.90,+12:02:00.4,Leo,17.38,
IC2724,G,11:19:48.44,+10:42:59.6,Leo,16.84,
IC2725,G,11:19:57.44,+13:25:45.4,Leo,17.20,
IC2726,Other,11:19:58.44,+13:24:56.1,Leo,,
IC2727,G,11:20:00.07,+12:02:00.0,Leo,16.70,
IC2728,*,11:20:05.13,+13:25:37.2,Leo,,
IC2729,G,11:20:06.77,+13:24:33.5,Leo,17.65,
IC2730,*,11:20:07.39,+12:21:59.5,Leo,,
IC2731,*,11:20:10.27,+13:33:29.8,Leo,,
IC2732,G,11:20:12.38,+12:24:14.5,Leo,17.17,
IC2733,**,11:20:17.31,+13:50:06.9,Leo,,
IC2734,G,11:20:23.82,+12:26:34.9,Leo,16.51,
IC2735,G,11:21:03.90,+34:20:38.2,UMa,15.10,
IC2736,*,11:20:54.62,+12:24:31.2,Leo,,
IC2737,*,11:21:08.25,+14:17:35.5,Leo,,
IC2738,G,11:21:23.06,+34:21:24.0,UMa,15.06,
IC2739,G,11:21:12.43,+11:54:53.1,Leo,16.86,
IC2740,G,11:21:17.06,+08:45:08.3,Leo,17.39,
IC2741,G,11:21:17.47,+09:09:08.5,Leo,16.65,
IC2742,G,11:21:18.73,+10:26:48.2,Leo,17.46,
IC2743,*,11:21:24.99,+08:41:35.2,Leo,,
IC2744,G,11:21:42.51,+34:21:46.1,UMa,15.26,
IC2745,G,11:21:31.76,+13:25:35.8,Leo,15.21,
IC2746,G,11:21:36.42,+11:44:13.5,Leo,16.72,
IC2747,**,11:21:40.16,+08:48:11.7,Leo,,
IC2748,G,11:21:44.04,+08:48:17.9,Leo,16.63,
IC2749,G,11:21:45.20,+08:34:29.2,Leo,15.80,
IC2750,G,11:21:50.79,+09:39:30.4,Leo,17.37,
IC2751,G,11:22:07.39,+34:21:58.9,UMa,15.40,
IC2752,G,11:22:01.94,+14:07:28.2,Leo,16.73,
IC2753,G,11:21:59.71,+09:52:41.0,Leo,16.66,
IC2754,G,11:22:02.38,+14:08:38.6,Leo,16.97,
IC2755,*,11:22:02.41,+13:47:35.2,Leo,,
IC2756,G,11:22:00.91,+09:57:36.6,Leo,17.10,
IC2757,G,11:22:02.10,+08:23:37.8,Leo,15.25,
IC2758,G,11:22:03.33,+07:48:48.7,Leo,15.45,
IC2759,G,11:22:13.28,+24:19:01.8,Leo,15.10,
IC2760,G,11:22:12.80,+12:39:55.5,Leo,17.39,
IC2761,G,11:22:17.17,+14:10:39.3,Leo,16.79,
IC2762,G,11:22:17.92,+12:43:21.1,Leo,15.82,
IC2763,G,11:22:18.56,+13:03:54.2,Leo,14.89,
IC2764,G,11:27:05.03,-28:58:48.8,Hya,13.20,
IC2765,G,11:22:23.12,+14:11:56.6,Leo,17.17,
IC2766,G,11:22:23.06,+12:54:12.5,Leo,17.12,
IC2767,G,11:22:23.19,+13:04:40.1,Leo,17.03,
IC2768,G,11:22:23.56,+12:31:44.1,Leo,17.32,
IC2769,G,11:22:25.65,+14:11:45.2,Leo,15.95,
IC2770,G,11:22:24.76,+09:13:14.4,Leo,16.64,
IC2771,G,11:22:28.05,+12:31:09.0,Leo,18.11,
IC2772,*,11:22:30.40,+13:35:56.9,Leo,,
IC2773,*,11:22:35.31,+13:34:28.3,Leo,,
IC2774,*,11:22:37.15,+12:30:53.8,Leo,,
IC2775,G,11:22:39.56,+12:30:43.2,Leo,17.73,
IC2776,G,11:22:39.99,+13:19:49.9,Leo,15.15,
IC2777,G,11:22:40.55,+12:01:32.1,Leo,15.33,
IC2778,Other,11:22:41.93,+12:31:34.7,Leo,,
IC2779,G,11:22:44.51,+13:20:43.1,Leo,17.47,
IC2780,G,11:22:48.13,+10:08:58.4,Leo,16.53,
IC2781,G,11:22:50.67,+12:20:41.6,Leo,17.19,
IC2782,G,11:22:55.36,+13:26:28.6,Leo,15.20,
IC2783,G,11:22:53.63,+08:53:02.6,Leo,16.36,
IC2784,G,11:23:11.63,+13:07:03.8,Leo,16.36,
IC2785,G,11:23:15.36,+13:23:28.5,Leo,15.54,
IC2786,G,11:23:17.50,+13:23:31.2,Leo,16.55,
IC2787,G,11:23:19.08,+13:37:47.2,Leo,15.53,
IC2788,G,11:23:26.97,+12:41:52.9,Leo,18.15,
IC2789,G,11:23:32.66,+14:11:16.9,Leo,18.04,
IC2790,G,11:23:34.06,+09:33:19.3,Leo,16.91,
IC2791,G,11:23:37.62,+12:53:44.8,Leo,17.08,
IC2792,G,11:23:41.51,+11:24:17.4,Leo,17.06,
IC2793,GPair,11:23:47.39,+09:26:59.2,Leo,,
IC2793 NED01,G,11:23:47.28,+09:27:04.8,Leo,17.65,
IC2793 NED02,G,11:23:47.54,+09:26:54.4,Leo,17.69,
IC2794,*,11:24:03.65,+12:47:27.5,Leo,,
IC2795,G,11:24:04.07,+12:08:06.4,Leo,17.36,
IC2796,GPair,11:24:08.35,+09:20:38.9,Leo,,
IC2796 NED01,G,11:24:08.39,+09:20:44.6,Leo,17.44,
IC2796 NED02,G,11:24:08.42,+09:20:34.5,Leo,18.19,
IC2797,G,11:24:21.06,+11:42:21.4,Leo,16.41,
IC2798,G,11:24:23.99,+12:24:56.2,Leo,16.93,
IC2799,G,11:24:26.67,+13:50:56.8,Leo,17.18,
IC2800,G,11:24:27.08,+12:12:31.7,Leo,17.35,
IC2801,G,11:24:29.03,+10:11:01.8,Leo,16.34,
IC2802,G,11:24:30.36,+12:12:31.5,Leo,17.80,
IC2803,G,11:24:35.41,+09:51:00.1,Leo,17.30,
IC2804,G,11:24:55.73,+13:13:19.4,Leo,15.11,
IC2805,*,11:24:59.89,+14:00:52.1,Leo,,
IC2806,*,11:25:15.30,+09:39:08.0,Leo,,
IC2807,G,11:25:17.05,+11:31:48.2,Leo,17.47,
IC2808,*,11:25:26.88,+09:07:55.4,Leo,,
IC2809,*,11:25:37.77,+08:31:34.6,Leo,,
IC2810,G,11:25:45.05,+14:40:35.7,Leo,15.24,
IC2811,G,11:25:44.65,+09:10:13.9,Leo,16.70,
IC2812,G,11:25:55.82,+11:31:47.7,Leo,16.94,
IC2813,G,11:26:06.50,+11:15:20.7,Leo,16.75,
IC2814,G,11:26:08.51,+09:39:42.5,Leo,16.70,
IC2815,G,11:26:16.55,+12:48:13.8,Leo,17.09,
IC2816,G,11:26:18.28,+10:38:11.4,Leo,16.58,
IC2817,*,11:26:18.81,+09:08:56.4,Leo,,
IC2818,G,11:26:26.87,+12:55:15.4,Leo,17.31,
IC2819,G,11:26:27.44,+13:50:41.6,Leo,16.05,
IC2820,G,11:26:26.85,+10:14:18.5,Leo,16.55,
IC2821,G,11:26:34.88,+13:57:46.5,Leo,16.82,
IC2822,G,11:26:34.05,+11:26:24.3,Leo,15.12,
IC2823,G,11:26:44.67,+12:50:54.3,Leo,15.80,
IC2824,*,11:27:04.87,+14:05:07.0,Leo,,
IC2825,*,11:27:03.56,+08:26:38.1,Leo,,
IC2826,G,11:27:06.08,+13:14:19.4,Leo,15.17,
IC2827,*,11:27:09.67,+11:30:51.8,Leo,,
IC2828,G,11:27:10.94,+08:43:51.8,Leo,14.88,
IC2829,G,11:27:14.98,+10:19:20.5,Leo,15.66,
IC2830,G,11:27:21.58,+07:48:51.5,Leo,15.54,
IC2831,*,11:27:22.61,+08:58:44.1,Leo,,
IC2832,*,11:27:25.12,+13:59:22.0,Leo,,
IC2833,*,11:27:26.11,+13:36:10.1,Leo,,
IC2834,G,11:27:31.82,+13:34:13.2,Leo,17.47,
IC2835,G,11:27:31.59,+12:08:34.4,Leo,16.86,
IC2836,*,11:27:37.21,+09:05:05.3,Leo,,
IC2837,G,11:27:41.96,+10:18:47.0,Leo,16.48,
IC2838,G,11:27:45.24,+14:00:40.5,Leo,16.82,
IC2839,G,11:27:45.42,+10:49:11.1,Leo,17.15,
IC2840,G,11:27:47.60,+13:25:33.2,Leo,17.28,
IC2841,*,11:27:48.86,+12:36:11.2,Leo,,
IC2842,G,11:27:47.69,+09:39:07.1,Leo,17.12,
IC2843,G,11:27:58.09,+13:11:02.1,Leo,15.54,
IC2844,G,11:27:58.10,+11:27:11.8,Leo,16.38,
IC2845,G,11:28:00.46,+12:31:47.1,Leo,16.75,
IC2846,G,11:28:00.49,+11:09:29.8,Leo,15.01,
IC2847,G,11:28:03.39,+13:55:49.4,Leo,17.20,
IC2848,G,11:28:13.67,+13:01:49.7,Leo,17.12,
IC2849,*,11:28:11.66,+09:05:38.4,Leo,,
IC2850,G,11:28:12.96,+09:03:44.1,Leo,14.99,
IC2851,G,11:28:14.61,+11:23:39.8,Leo,17.27,
IC2852,G,11:28:14.05,+09:48:01.7,Leo,16.73,
IC2853,G,11:28:14.86,+09:08:49.3,Leo,14.48,
IC2854,*,11:28:19.87,+08:58:07.4,Leo,,
IC2855,G,11:28:24.99,+09:41:15.9,Leo,18.49,
IC2856,G,11:28:16.31,-12:53:26.5,Crt,14.60,
IC2857,G,11:28:31.04,+09:06:15.9,Leo,15.31,
IC2858,G,11:28:35.96,+13:39:41.4,Leo,16.95,
IC2859,*,11:28:41.76,+09:06:30.6,Leo,,
IC2860,G,11:28:44.60,+14:02:30.8,Leo,16.64,
IC2861,G,11:28:58.97,+38:51:04.6,UMa,15.33,
IC2862,G,11:28:43.32,+10:07:38.2,Leo,16.91,
IC2863,*,11:28:53.98,+09:05:43.1,Leo,,
IC2864,G,11:28:59.67,+12:22:03.8,Leo,16.80,
IC2865,*,11:28:59.75,+09:06:55.8,Leo,,
IC2866,*,11:29:00.03,+09:02:31.9,Leo,,
IC2867,G,11:29:00.54,+09:05:21.8,Leo,15.92,
IC2868,*,11:29:05.80,+09:05:39.5,Leo,,
IC2869,*,11:29:08.72,+09:01:02.6,Leo,,
IC2870,G,11:29:12.42,+11:51:55.8,Leo,18.00,
IC2871,G,11:29:20.69,+08:36:08.5,Leo,15.22,
IC2872,Neb,11:28:08.03,-62:59:20.2,Cen,,
IC2873,GPair,11:29:27.43,+13:13:05.9,Leo,,
IC2873 NED01,G,11:29:27.47,+13:12:56.5,Leo,17.39,
IC2873 NED02,G,11:29:27.64,+13:13:12.4,Leo,15.08,
IC2874,G,11:29:27.55,+10:37:45.0,Leo,16.85,
IC2875,*,11:29:34.93,+12:59:23.6,Leo,,
IC2876,G,11:29:33.60,+09:00:58.2,Leo,16.74,
IC2877,G,11:29:37.74,+12:51:11.8,Leo,16.05,
IC2878,G,11:29:38.21,+09:58:03.3,Leo,16.54,
IC2879,G,11:29:44.29,+09:00:49.9,Leo,16.84,
IC2880,*,11:29:53.02,+13:11:55.8,Leo,,
IC2881,G,11:29:54.41,+12:30:40.4,Leo,18.52,
IC2882,*,11:30:09.44,+11:59:20.9,Leo,,
IC2883,G,11:30:15.79,+10:54:39.3,Leo,17.23,
IC2884,*Ass,11:27:41.05,-79:44:03.8,Cha,,
IC2885,*,11:30:22.61,+09:46:19.4,Leo,,
IC2886,G,11:30:24.44,+11:33:45.6,Leo,17.06,
IC2887,Dup,11:30:29.72,+09:23:16.6,Leo,,
IC2888,Other,11:30:35.11,+09:54:30.6,Leo,,
IC2889,G,11:30:28.99,-13:05:27.6,Crt,14.70,
IC2890,*,11:30:46.15,+13:10:54.6,Leo,,
IC2891,G,11:30:48.14,+12:40:39.8,Leo,16.65,
IC2892,G,11:30:48.91,+10:35:18.8,Leo,16.95,
IC2893,GPair,11:30:53.28,+13:23:27.7,Leo,,
IC2893 NED01,G,11:30:53.21,+13:23:31.1,Leo,17.75,
IC2893 NED02,G,11:30:53.46,+13:23:23.7,Leo,15.96,
IC2894,G,11:30:57.50,+13:14:07.3,Leo,15.97,
IC2895,*,11:30:57.29,+09:58:36.7,Leo,,
IC2896,G,11:31:13.43,+12:21:00.2,Leo,16.56,
IC2897,*,11:31:19.37,+11:32:56.6,Leo,,
IC2898,G,11:31:20.41,+13:20:10.4,Leo,16.63,
IC2899,**,11:31:20.37,+10:38:05.0,Leo,,
IC2900,G,11:31:29.69,+13:10:02.3,Leo,17.30,
IC2901,G,11:31:32.13,+12:41:59.0,Leo,16.97,
IC2902,*,11:31:33.16,+14:13:21.9,Leo,,
IC2903,G,11:31:40.76,+12:38:33.3,Leo,16.81,
IC2904,*,11:31:42.37,+13:11:02.9,Leo,16.80,
IC2905,*,11:31:46.98,+09:06:25.1,Leo,,
IC2906,*,11:31:49.61,+13:07:58.4,Leo,,
IC2907,*,11:31:48.75,+09:53:58.0,Leo,,
IC2908,*,11:31:50.48,+12:56:16.4,Leo,,
IC2909,G,11:31:50.89,+11:28:12.8,Leo,17.77,
IC2910,G,11:31:54.71,-09:43:31.3,Crt,14.63,
IC2911,**,11:32:04.63,+12:58:38.5,Leo,,
IC2912,G,11:32:07.11,+11:42:35.1,Leo,17.11,
IC2913,G,11:31:51.35,-30:24:38.8,Hya,13.83,
IC2914,G,11:32:12.43,+13:29:32.9,Leo,15.54,
IC2915,NonEx,,,,,
IC2916,*,11:32:16.15,+11:41:01.4,Leo,,
IC2917,G,11:32:19.33,+10:56:43.6,Leo,18.00,
IC2918,*,11:32:26.23,+13:14:54.6,Leo,,
IC2919,G,11:32:34.90,+14:11:21.2,Leo,15.93,
IC2920,*,11:32:48.67,+12:33:25.6,Leo,,
IC2921,G,11:32:49.28,+10:17:47.3,Leo,16.27,
IC2922,*,11:32:51.22,+12:55:22.2,Leo,,
IC2923,G,11:32:53.55,+13:09:50.3,Leo,16.79,
IC2924,*,11:32:52.19,+09:01:23.8,Leo,,
IC2925,G,11:33:13.23,+34:15:54.4,UMa,15.34,
IC2926,*,11:33:04.07,+12:26:11.2,Leo,,
IC2927,*,11:33:04.77,+13:05:08.6,Leo,,
IC2928,G,11:33:29.96,+34:18:58.5,UMa,14.67,
IC2929,G,11:33:31.47,+12:08:14.4,Leo,16.21,
IC2930,G,11:33:44.14,+10:05:19.2,Leo,15.75,
IC2931,*,11:33:50.49,+12:28:02.0,Leo,,
IC2932,**,11:33:53.71,+10:32:36.2,Leo,,
IC2933,G,11:34:12.75,+34:18:45.0,UMa,14.95,
IC2934,G,11:34:19.55,+13:19:19.2,Leo,15.24,
IC2935,*,11:34:48.21,+10:15:00.5,Leo,,
IC2936,G,11:34:56.82,+13:00:31.7,Leo,16.48,
IC2937,*,11:35:03.37,+10:06:12.1,Leo,,
IC2938,G,11:35:36.30,+13:40:50.6,Leo,15.26,
IC2939,*,11:35:37.98,+10:41:49.5,Leo,,
IC2940,Other,11:36:02.74,+21:57:42.0,Leo,,
IC2941,G,11:36:09.97,+10:03:20.1,Leo,14.96,
IC2942,G,11:36:12.21,+11:48:57.2,Leo,16.18,
IC2943,G,11:36:42.31,+54:50:45.7,UMa,15.14,
IC2944,Cl+N,11:35:46.93,-63:01:11.4,Cen,4.50,
